year,state,state_po,totalvotes,dem_name,rep_name,dem_votes,rep_votes,winner_votes,loser_votes,votes_to_flip,party_win,electoral_votes,E_total,D_electoral,R_electoral,overall_winner
1984,ILLINOIS,IL,4819088,"MONDALE, WALTER","REAGAN, RONALD",2086499,2707103,2707103,2086499,310303,R,,0.0,0.0,0.0,R
1984,INDIANA,IN,2233069,"MONDALE, WALTER","REAGAN, RONALD",841481,1377230,1377230,841481,267875,R,,0.0,0.0,0.0,R
1984,IOWA,IA,1319805,"MONDALE, WALTER","REAGAN, RONALD",605620,703088,703088,605620,48735,R,,0.0,0.0,0.0,R
1984,KANSAS,KS,1021991,"MONDALE, WALTER","REAGAN, RONALD",333149,677296,677296,333149,172074,R,,0.0,0.0,0.0,R
1984,KENTUCKY,KY,1369345,"MONDALE, WALTER","REAGAN, RONALD",539539,821702,821702,539539,141082,R,,0.0,0.0,0.0,R
1984,LOUISIANA,LA,1706822,"MONDALE, WALTER","REAGAN, RONALD",651586,1037299,1037299,651586,192857,R,,0.0,0.0,0.0,R
1984,MAINE,ME,553144,"MONDALE, WALTER","REAGAN, RONALD",214515,336500,336500,214515,60993,R,,0.0,0.0,0.0,R
1984,MARYLAND,MD,1675873,"MONDALE, WALTER","REAGAN, RONALD",787935,879918,879918,787935,45992,R,,0.0,0.0,0.0,R
1984,MASSACHUSETTS,MA,2559383,"MONDALE, WALTER","REAGAN, RONALD",1239606,1310936,1310936,1239606,35666,R,,0.0,0.0,0.0,R
1984,MICHIGAN,MI,3801658,"MONDALE, WALTER","REAGAN, RONALD",1529638,2251571,2251571,1529638,360967,R,,0.0,0.0,0.0,R
1984,MINNESOTA,MN,2084449,"MONDALE, WALTER","REAGAN, RONALD",1036364,1032603,1036364,1032603,1881,D,,0.0,0.0,0.0,R
1984,MISSISSIPPI,MS,941104,"MONDALE, WALTER","REAGAN, RONALD",352192,582377,582377,352192,115093,R,,0.0,0.0,0.0,R
1984,MISSOURI,MO,2122771,"MONDALE, WALTER","REAGAN, RONALD",848583,1274188,1274188,848583,212803,R,,0.0,0.0,0.0,R
1984,MONTANA,MT,384377,"MONDALE, WALTER","REAGAN, RONALD",146742,232450,232450,146742,42855,R,,0.0,0.0,0.0,R
1984,NEBRASKA,NE,652090,"MONDALE, WALTER","REAGAN, RONALD",187866,460054,460054,187866,136095,R,,0.0,0.0,0.0,R
