year,state,state_po,D_name,R_name,T_name,party_win,D_votes,R_votes,T_votes,overall_winner,overall_runner_up,winner_state,electoral_votes,winner_votes,loser_votes,votes_to_flip,total_electoral_votes,electoral_votes_to_win,D_electoral,R_electoral,T_electoral,totalvotes
1924,MARYLAND,MD,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,148072,162414,47157,R,D,True,8,162414,148072,7172,531,266,130,388,0,357643
1924,MASSACHUSETTS,MA,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,280831,703476,141225,R,D,True,18,703476,280831,211323,531,266,130,388,0,1125532
1924,MICHIGAN,MI,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,152359,874631,122014,R,D,True,15,874631,152359,361137,531,266,130,388,0,1149004
1924,MINNESOTA,MN,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,55913,420759,339192,R,D,True,12,420759,55913,182424,531,266,130,388,0,815864
1924,MISSISSIPPI,MS,John W. Davis,Calvin Coolidge,Robert M. La Follette,D,100474,8494,0,R,D,False,10,8494,100474,0,531,266,130,388,0,108968
1924,MISSOURI,MO,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,572753,648486,84160,R,D,True,18,648486,572753,37867,531,266,130,388,0,1305399
1924,MONTANA,MT,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,33805,74138,66123,R,D,True,4,74138,33805,20167,531,266,130,388,0,174066
1924,NEBRASKA,NE,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,137289,218585,106701,R,D,True,8,218585,137289,40649,531,266,130,388,0,462575
1924,NEVADA,NV,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,5909,11243,9769,R,D,True,3,11243,5909,2668,531,266,130,388,0,26921
1924,NEW HAMPSHIRE,NH,John W. Davis,Calvin Coolidge,Robert M. La Follette,R,57201,98575,8993,R,D,True,4,98575,57201,20688,531,266,130,388,0,164769
