index,year,state,state_po,totalvotes,D_name,R_name,D_votes,R_votes,winner_votes,loser_votes,votes_to_flip,party_win,electoral_votes,total_electoral_votes,D_electoral,R_electoral,overall_winner,winner_state
133,1984,NEW MEXICO,NM,508870,"MONDALE, WALTER","REAGAN, RONALD",201769,307101,307101,201769,52667,R,5,538,13,525,R,True
134,1984,NEW YORK,NY,6377804,"MONDALE, WALTER","REAGAN, RONALD",3001285,3376519,3376519,3001285,187618,R,36,538,13,525,R,True
135,1984,NORTH CAROLINA,NC,2170768,"MONDALE, WALTER","REAGAN, RONALD",824287,1346481,1346481,824287,261098,R,13,538,13,525,R,True
136,1984,NORTH DAKOTA,ND,304765,"MONDALE, WALTER","REAGAN, RONALD",104429,200336,200336,104429,47954,R,3,538,13,525,R,True
137,1984,OHIO,OH,4503999,"MONDALE, WALTER","REAGAN, RONALD",1825440,2678559,2678559,1825440,426560,R,23,538,13,525,R,True
138,1984,OKLAHOMA,OK,1246610,"MONDALE, WALTER","REAGAN, RONALD",385080,861530,861530,385080,238226,R,8,538,13,525,R,True
139,1984,OREGON,OR,1222179,"MONDALE, WALTER","REAGAN, RONALD",536479,685700,685700,536479,74611,R,7,538,13,525,R,True
140,1984,PENNSYLVANIA,PA,4812454,"MONDALE, WALTER","REAGAN, RONALD",2228131,2584323,2584323,2228131,178097,R,25,538,13,525,R,True
141,1984,RHODE ISLAND,RI,409186,"MONDALE, WALTER","REAGAN, RONALD",197106,212080,212080,197106,7488,R,4,538,13,525,R,True
142,1984,SOUTH CAROLINA,SC,959998,"MONDALE, WALTER","REAGAN, RONALD",344459,615539,615539,344459,135541,R,8,538,13,525,R,True
143,1984,SOUTH DAKOTA,SD,316380,"MONDALE, WALTER","REAGAN, RONALD",116113,200267,200267,116113,42078,R,3,538,13,525,R,True
144,1984,TENNESSEE,TN,1701926,"MONDALE, WALTER","REAGAN, RONALD",711714,990212,990212,711714,139250,R,11,538,13,525,R,True
145,1984,TEXAS,TX,5382704,"MONDALE, WALTER","REAGAN, RONALD",1949276,3433428,3433428,1949276,742077,R,29,538,13,525,R,True
146,1984,UTAH,UT,624474,"MONDALE, WALTER","REAGAN, RONALD",155369,469105,469105,155369,156869,R,5,538,13,525,R,True
147,1984,VERMONT,VT,231595,"MONDALE, WALTER","REAGAN, RONALD",95730,135865,135865,95730,20068,R,3,538,13,525,R,True
148,1984,VIRGINIA,VA,2133328,"MONDALE, WALTER","REAGAN, RONALD",796250,1337078,1337078,796250,270415,R,12,538,13,525,R,True
149,1984,WASHINGTON,WA,1850022,"MONDALE, WALTER","REAGAN, RONALD",798352,1051670,1051670,798352,126660,R,10,538,13,525,R,True
150,1984,WEST VIRGINIA,WV,733608,"MONDALE, WALTER","REAGAN, RONALD",328125,405483,405483,328125,38680,R,6,538,13,525,R,True
151,1984,WISCONSIN,WI,2194324,"MONDALE, WALTER","REAGAN, RONALD",995740,1198584,1198584,995740,101423,R,11,538,13,525,R,True
152,1984,WYOMING,WY,186611,"MONDALE, WALTER","REAGAN, RONALD",53370,133241,133241,53370,39936,R,3,538,13,525,R,True
153,1988,ALABAMA,AL,1365082,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",549506,815576,815576,549506,133036,R,9,538,112,426,R,True
154,1988,ALASKA,AK,191835,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",72584,119251,119251,72584,23334,R,3,538,112,426,R,True
155,1988,ARIZONA,AZ,1156570,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",454029,702541,702541,454029,124257,R,7,538,112,426,R,True
156,1988,ARKANSAS,AR,815815,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",349237,466578,466578,349237,58671,R,6,538,112,426,R,True
157,1988,CALIFORNIA,CA,9757150,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",4702233,5054917,5054917,4702233,176343,R,47,538,112,426,R,True
158,1988,COLORADO,CO,1349630,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",621453,728177,728177,621453,53363,R,8,538,112,426,R,True
159,1988,CONNECTICUT,CT,1426825,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",676584,750241,750241,676584,36829,R,8,538,112,426,R,True
160,1988,DELAWARE,DE,248286,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",108647,139639,139639,108647,15497,R,3,538,112,426,R,True
161,1988,D.C.,DC,186997,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",159407,27590,159407,27590,65909,D,3,538,112,426,R,False
162,1988,FLORIDA,FL,4275586,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",1656701,2618885,2618885,1656701,481093,R,21,538,112,426,R,True
163,1988,GEORGIA,GA,1796123,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",714792,1081331,1081331,714792,183270,R,12,538,112,426,R,True
164,1988,HAWAII,HI,350989,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",192364,158625,192364,158625,16870,D,4,538,112,426,R,False
165,1988,IDAHO,ID,401153,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",147272,253881,253881,147272,53305,R,4,538,112,426,R,True
